property_id,location_id,property_type,price,location,city,province_name,baths,area,purpose,bedrooms,Area Type,Area Size,Area Category
237062,3325,Flat,10000000,G-10,Islamabad,Islamabad Capital,2,4 Marla,For Sale,2,Marla,4,0-5 Marla
346905,3236,Flat,6900000,E-11,Islamabad,Islamabad Capital,3,5.6 Marla,For Sale,3,Marla,5.6,5-10 Marla
386513,764,House,16500000,G-15,Islamabad,Islamabad Capital,6,8 Marla,For Sale,5,Marla,8,5-10 Marla
656161,340,House,43500000,Bani Gala,Islamabad,Islamabad Capital,4,2 Kanal,For Sale,4,Kanal,2,1-5 Kanal
841645,3226,House,7000000,DHA Defence,Islamabad,Islamabad Capital,3,8 Marla,For Sale,3,Marla,8,5-10 Marla
850762,3390,House,34500000,Ghauri Town,Islamabad,Islamabad Capital,8,1.6 Kanal,For Sale,8,Kanal,1.6,1-5 Kanal
937975,445,House,27000000,Korang Town,Islamabad,Islamabad Capital,8,1 Kanal,For Sale,8,Kanal,1,1-5 Kanal
1258636,3241,Flat,7800000,E-11,Islamabad,Islamabad Capital,2,6.2 Marla,For Sale,2,Marla,6.2,5-10 Marla
1402466,376,House,50000000,DHA Defence,Islamabad,Islamabad Capital,7,1 Kanal,For Sale,7,Kanal,1,1-5 Kanal
1418706,3282,Penthouse,40000000,F-11,Islamabad,Islamabad Capital,5,1 Kanal,For Sale,5,Kanal,1,1-5 Kanal
1425602,429,Flat,35000000,Diplomatic Enclave,Islamabad,Islamabad Capital,3,7.1 Marla,For Sale,3,Marla,7.1,5-10 Marla
1586658,429,Flat,48000000,Diplomatic Enclave,Islamabad,Islamabad Capital,2,7.8 Marla,For Sale,2,Marla,7.8,5-10 Marla
1623818,3300,House,400000000,F-6,Islamabad,Islamabad Capital,0,4.5 Kanal,For Sale,0,Kanal,4.5,1-5 Kanal
1665024,11905,Flat,13500000,DHA Defence,Islamabad,Islamabad Capital,5,10 Marla,For Sale,3,Marla,10,5-10 Marla
1879795,329,Flat,3600000,E-11,Islamabad,Islamabad Capital,1,3.1 Marla,For Sale,1,Marla,3.1,0-5 Marla
1879796,329,Flat,5000000,E-11,Islamabad,Islamabad Capital,2,4 Marla,For Sale,2,Marla,4,0-5 Marla
1947817,3075,House,19000000,DHA Defence,Islamabad,Islamabad Capital,3,10 Marla,For Sale,3,Marla,10,5-10 Marla
2230469,9057,House,80000000,DHA Defence,Islamabad,Islamabad Capital,7,2 Kanal,For Sale,7,Kanal,2,1-5 Kanal
2234957,3116,House,26900000,B-17,Islamabad,Islamabad Capital,6,1 Kanal,For Sale,6,Kanal,1,1-5 Kanal
2384979,424,Flat,1750000,PWD Housing Scheme,Islamabad,Islamabad Capital,0,1.5 Marla,For Sale,0,Marla,1.5,0-5 Marla
2642166,3331,House,55000000,G-11,Islamabad,Islamabad Capital,7,14 Marla,For Sale,6,Marla,14,10-15 Marla
2642249,156,House,4500000,Bhara kahu,Islamabad,Islamabad Capital,3,5 Marla,For Sale,3,Marla,5,0-5 Marla
2651838,340,Farm House,88500000,Bani Gala,Islamabad,Islamabad Capital,3,6 Kanal,For Sale,3,Kanal,6,5-10 Kanal
2682075,429,Flat,47000000,Diplomatic Enclave,Islamabad,Islamabad Capital,2,8.4 Marla,For Sale,3,Marla,8.4,5-10 Marla
2771097,8257,House,4500000,Garden Town,Islamabad,Islamabad Capital,4,4.7 Marla,For Sale,4,Marla,4.7,0-5 Marla
